"","date","observed_cumulative_cases","observed_active_cases","observed_cumulative_deaths","observed_new_cases","observed_daily_average_cases","observed_new_episodes","observed_new_cases_community_outbreak","observed_new_cases_institution_outbreak","observed_new_cases_sporadic","observed_new_ICU_p_acute_care","observed_census_ICU","observed_census_ICU_p_acute_care","observed_census_acute_care","observed_new_deaths","cumulative_hosp","observed_new_community_cases","num_non_ltch_tests","non_ltch_pct_positivity","num_ltch_tests","ltch_pct_positivity","observed_pct_positivity","pct_positivity_7_day","adjusted_new_episodes","adjusted_active_cases","adjusted_episode_cases"
"367",2021-03-02,15069,691,431,61,56.4,63,1,6,54,3,4,29,25,1,792,55,2006,0.0259200000762939,41,0,2.54008403287961,2.17139761268287,62.9909732753772,716.013864241557,63
"368",2021-03-03,15128,701,431,65,57.1,59,0,5,51,6,5,32,27,0,798,51,2676,0.0209299993515015,109,0,2.01108360016582,2.19404220187619,57.4616889275614,721.091057612167,59
"369",2021-03-04,15185,697,431,61,59.7,57,3,3,50,1,5,31,26,0,799,53,2414,0.0202999997138977,225,0.00444000005722046,1.89477829944008,2.2079744738987,57.4311624349306,715.821136172578,57
"370",2021-03-05,15258,702,431,51,58.9,73,1,11,56,1,2,28,26,0,800,57,2440,0.0188499999046326,154,0,1.77309174122219,2.218094924514,69.4403257306349,719.73874847203,73
"371",2021-03-06,15314,715,433,46,55.3,56,3,3,47,1,2,27,25,2,801,50,1957,0.0209500002861023,25,0,2.06857470029779,2.21479508342224,54.4739945225517,736.07812167249,56
"372",2021-03-07,15354,706,434,54,56,40,1,0,38,2,5,26,21,1,803,39,1752,0.0194099998474121,16,0.0625,1.97999545999242,2.15053268784143,40.1004833040756,725.921569555829,40
"373",2021-03-08,15437,747,435,38,53.7,83,1,9,65,6,4,29,25,1,809,66,1170,0.0205100011825562,142,0,1.8290168737493,2.01380352967817,76.7203479894579,766.471211335228,83
"374",2021-03-09,15494,753,435,70,55,57,0,8,47,1,3,27,24,0,810,47,2105,0.0318300008773804,57,0,3.09908195406502,2.0936603755618,57.0758003252669,786.256971168637,57
"375",2021-03-10,15574,776,435,76,56.6,80,5,8,64,0,2,24,22,0,810,69,2655,0.0180799996852875,173,0,1.69739742448509,2.04884806475027,78.6691189436744,794.771540583932,80
"376",2021-03-11,15635,773,438,73,58.3,61,1,7,52,1,2,20,18,3,811,53,2321,0.0280100011825562,86,0,2.70092283941475,2.16401157046094,62.0400588863398,802.75406639888,61
"377",2021-03-12,15717,779,438,93,64.3,82,5,4,67,2,2,17,15,0,813,72,2361,0.0228699994087219,133,0,2.16503883736938,2.22000401276768,78.2215333858556,803.035757049743,82
"378",2021-03-13,15785,797,438,56,65.7,68,5,3,54,5,4,22,18,0,818,59,2353,0.0187000000476837,99,0,1.79449837325448,2.18085025176149,63.508862750559,817.382434105009,68
"379",2021-03-14,15853,821,438,65,67.3,68,2,10,51,2,3,23,20,0,820,53,1535,0.0299699997901917,36,0,2.92832270387933,2.31632557231676,65.2118183707218,855.262318535143,68
"380",2021-03-15,15960,868,439,58,70.1,107,4,3,97,4,5,25,20,1,824,101,1000,0.0320000004768372,13,0,3.1589339068941,2.50631371990888,108.546912217332,907.076433709345,107
"381",2021-03-16,16047,887,440,85,72.3,87,7,4,73,5,6,27,21,1,829,80,1583,0.0341100001335144,9,0,3.39171672181867,2.54811868673083,87.8669113524695,929.874379620505,87
"382",2021-03-17,16135,915,441,78,72.6,88,3,5,76,3,5,27,22,1,832,79,2842,0.0267400002479553,175,0,2.51889561500461,2.66547557109076,86.8359065666818,947.846259601441,88
"383",2021-03-18,16228,953,442,63,71.1,93,6,3,80,2,5,24,19,1,834,86,2566,0.0284500002861023,161,0,2.67703339692477,2.66206279359219,92.2810050363093,989.358113948869,93
"384",2021-03-19,16353,1000,444,117,74.6,125,8,5,104,2,4,24,20,2,836,112,2615,0.0382399988174438,97,0,3.68722702461709,2.87951824891329,122.885353552218,1052.54779957338,125
"385",2021-03-20,16456,1054,445,83,78.4,103,6,5,87,4,4,27,23,1,840,93,1997,0.0435699987411499,151,0.00662000000476837,4.09724895189927,3.20848261729112,103.430376709082,1115.54426936959,103
"386",2021-03-21,16542,1083,446,87,81.6,86,5,1,78,4,4,29,25,1,844,83,1306,0.0421099996566772,87,0,3.94800140356213,3.35415100296009,88.6699265225691,1143.93410149328,85
"387",2021-03-22,16691,1159,447,56,81.3,149,6,7,133,4,7,30,23,1,848,139,1150,0.0547800016403198,131,0,4.91779874210521,3.60541740799025,155.741822412201,1240.22857680389,149
"388",2021-03-23,16815,1198,448,108,84.6,124,2,0,120,5,9,31,22,1,853,122,1966,0.0350999999046326,153,0,3.25656440832976,3.58610993463469,127.662055986104,1253.59953337174,124
"389",2021-03-24,16968,1288,448,84,85.4,153,7,2,137,4,9,33,24,0,857,144,3106,0.0457200002670288,47,0,4.50384779033909,3.86967453111105,155.242742493439,1370.67119674687,153
